Source,Page,Content
IHVN,https://www.ihvnigeria.org,"+234 9461 0342 [email protected] Working Hours - Mon - Thu: 8:00 - 17:00; Fri: 8:00 - 14:00      Institute of Human Virology, Nigeria - IHV NIGERIA Home About Us Our History Leadership & Team Board of Directors Executive Team Directors, Deputies & Associates Regional & State Managers, Technical Directors Unit Heads Technical Advisers Corporate Activities Office of the CEO Global Fund Programs Program Communication and Treatment Awareness Unit PEPFAR Coordinating Unit Learning and Development Unit Office of The COO Institutional Policies Administration Department Information Technology Unit Maintenance Unit Human Resources Unit Office Management Unit Travels Unit Building Services Unit Safety and Security Unit Finance Department Financial Services Financial Reporting, Budgets & Management Information System (MIS) Grants Management Department Supply Chain Management Department Board Secretariat and Legal Unit Prevention, Care and Treatment (PCT) Department Adult ART Pediatric ART Pharmacy Unit Maternal, Neonatal & Child Health Community Case Management Programme (CCMP) Empowering Communities through HES and VSLA Adolescent Services Violence Prevention Care and Support TB/HIV Unit Prevention Unit Clinical Laboratory Services Department Laboratory Equipment Maintenance Unit Molecular Diagnostics Unit Biorepository Services Unit Quality Improvement Unit Clinical Laboratory TB Services Unit Field Operations Unit (FOU) Strategic Information Department Health Informatics Unit Program Monitoring and Evaluation Unit Surveillance and Implementation Science Unit Internal Audit and Compliance Department Internal Audit/System Strengthening Unit Process and Compliance Unit Business Development Unit What We Do Ongoing Projects/Programs HIV Adolescents Adult Children Pregnant Women TB/DR-TB COVID-19 Services MALARIA RESEARCH CAPACITY BUILDING Nutrition LABORATORY SERVICES IHVN Ethics Committee COMPLETED PROJECTS Structure Where We Work Our History Leadership & Team Board of Directors Executive Team Directors, Deputies & Associates Regional & State Managers, Technical Directors Unit Heads Technical Advisers Board of Directors Executive Team Directors, Deputies & Associates Regional & State Managers, Technical Directors Unit Heads Technical Advisers Corporate Activities Office of the CEO Global Fund Programs Program Communication and Treatment Awareness Unit PEPFAR Coordinating Unit Learning and Development Unit Office of The COO Institutional Policies Administration Department Information Technology Unit Maintenance Unit Human Resources Unit Office Management Unit Travels Unit Building Services Unit Safety and Security Unit Finance Department Financial Services Financial Reporting, Budgets & Management Information System (MIS) Grants Management Department Supply Chain Management Department Board Secretariat and Legal Unit Prevention, Care and Treatment (PCT) Department Adult ART Pediatric ART Pharmacy Unit Maternal, Neonatal & Child Health Community Case Management Programme (CCMP) Empowering Communities through HES and VSLA Adolescent Services Violence Prevention Care and Support TB/HIV Unit Prevention Unit Clinical Laboratory Services Department Laboratory Equipment Maintenance Unit Molecular Diagnostics Unit Biorepository Services Unit Quality Improvement Unit Clinical Laboratory TB Services Unit Field Operations Unit (FOU) Strategic Information Department Health Informatics Unit Program Monitoring and Evaluation Unit Surveillance and Implementation Science Unit Internal Audit and Compliance Department Internal Audit/System Strengthening Unit Process and Compliance Unit Business Development Unit Office of the CEO Global Fund Programs Program Communication and Treatment Awareness Unit PEPFAR Coordinating Unit Learning and Development Unit Global Fund Programs Program Communication and Treatment Awareness Unit PEPFAR Coordinating Unit Learning and Development Unit Learning and Development Unit Office of The COO Institutional Policies Administration Department Information Technology Unit Maintenance Unit Human Resources Unit Office Management Unit Travels Unit Building Services Unit Safety and Security Unit Finance Department Financial Services Financial Reporting, Budgets & Management Information System (MIS) Grants Management Department Supply Chain Management Department Board Secretariat and Legal Unit Institutional Policies Administration Department Information Technology Unit Maintenance Unit Human Resources Unit Office Management Unit Travels Unit Building Services Unit Safety and Security Unit Information Technology Unit Maintenance Unit Human Resources Unit Office Management Unit Travels Unit Building Services Unit Safety and Security Unit Finance Department Financial Services Financial Reporting, Budgets & Management Information System (MIS) Financial Services Financial Reporting, Budgets & Management Information System (MIS) Grants Management Department Supply Chain Management Department Board Secretariat and Legal"
IHVN,https://www.ihvnigeria.org/program-communication-and-treatment-awareness-unit/,Program Communication and Treatment Awareness Unit
IHVN,https://www.ihvnigeria.org/administration-department/,Administration Department
IHVN,https://www.ihvnigeria.org/finance-department/,Finance Department
IHVN,https://www.ihvnigeria.org/finance-department/financial-reporting-budgets-management-information-system-mis/,"Financial Reporting, Budgets & Management Information System (MIS)"
IHVN,https://www.ihvnigeria.org/grants-management-department/,Grants Management Department
IHVN,https://www.ihvnigeria.org/supply-chain-management-department/,Supply Chain Management Department
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/,"Prevention, Care and Treatment (PCT) Department"
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/adult-art/,Adult ART
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/pediatric-art/,Pediatric ART
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/community-case-management-programme/,Community Case Management Programme (CCMP)
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/adolescent-services/,Adolescent Services
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/violence-prevention/,Violence Prevention
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/tb-hiv-unit/,TB/HIV Unit
IHVN,https://www.ihvnigeria.org/prevention-care-and-treatment-pct-department/prevention-unit/,Prevention Unit
IHVN,https://www.ihvnigeria.org/clinical-laboratory-services-department/,Clinical Laboratory Services Department
IHVN,https://www.ihvnigeria.org/clinical-laboratory-services-department/clinical-laboratory-tb-services-unit/,Clinical Laboratory TB Services Unit
IHVN,https://www.ihvnigeria.org/strategic-information-department/,Strategic Information Department
IHVN,https://www.ihvnigeria.org/internal-audit-and-compliance-department/,Internal Audit and Compliance Department
IHVN,https://www.ihvnigeria.org/about-us/hiv/,HIV
IHVN,https://www.ihvnigeria.org/about-us/hiv/adolescents/,Adolescents
IHVN,https://www.ihvnigeria.org/tb-dr-tb/,TB/DR-TB
IHVN,https://www.ihvnigeria.org/news-and-articles/ihvn-news-publications/,IHVN News/Publications
IHVN,https://www.ihvnigeria.org/news-and-articles,More Articles
